volume1,volume2,volume3,volume4,volume5,returns1,returns2,returns3,returns4,returns5,sma1,sma2,sma3,sma4,sma5,lma1,lma2,lma3,lma4,lma5,rsi1,rsi2,rsi3,rsi4,rsi5,atr1,atr2,atr3,atr4,atr5,trades1,trades2,trades3,trades4,trades5,monday,roll,chicago,flag2,trend_boostDT,trend_boostDTprob,trend_TCdeep,trend_TCdeepprob,trend_NN,trend_NNprob,flag1,range_boostDT,range_boostDTprob,range_TCdeep,range_TCdeepprob,range_NN,range_NNprob
84,83,83,73,74,0.000773096288988473,0.00102986620842982,-0.000257367135637399,0.000257367135637399,0,38.8140000000002,38.8100000000002,38.8070000000002,38.8080000000002,38.8110000000002,38.73925,38.7415,38.74375,38.7461666666666,38.7483333333333,50.6040196918958,61.6064676783104,57.6807522451497,60.7385516986232,60.7385516986232,0.0500000000000043,0.0599999999999952,0.0399999999999991,0.019999999999996,0.00999999999999801,48,31,44,39,27,1,1,1,trend,trend,0.968982100486755,trend,0.502102732658386,trend,0.642045736312866,norange,norange,0.0288156624883413,range,0.587051451206207,norange,0.297484666109085
3,0,0,1,0,0.000258899677821667,0,0,0,0,38.6260000000001,38.6270000000001,38.6280000000001,38.6300000000001,38.6290000000001,38.6196666666667,38.6203333333334,38.621,38.6213333333334,38.6216666666667,48.4807077736272,48.4807077736272,48.4807077736272,48.4807077736272,48.4807077736272,0.0200000000000031,0.0200000000000031,0.0200000000000031,0,0,3,0,0,1,0,0,1,0,trend,trend,0.998794138431549,notrend,0.272344410419464,notrend,0.318895578384399,norange,norange,0.000931782706174999,range,0.70288097858429,range,0.593074023723602
60,208,87,47,53,-0.00116652098384096,0.0023316827818407,0.00116380577581676,0.00145285511535498,-0.0020345886977875,34.3849999999999,34.3779999999999,34.3659999999999,34.3589999999999,34.3539999999999,34.7453333333334,34.7403333333334,34.7355,34.7313333333334,34.7265,28.1787939852737,49.4533914584463,57.2009213155999,65.3215719791648,49.3117908563784,0.0600000000000023,0.109999999999999,0.0399999999999991,0.0700000000000003,0.0700000000000003,42,126,53,35,36,0,0,0,notrend,trend,0.998505592346191,trend,0.846307158470154,notrend,0.456545829772949,range,norange,0.0011687115766108,norange,0.210729658603668,range,0.60634571313858
43,7,21,31,65,-0.000264865582266349,0.00052966102933194,0.00026472534899824,0.0005292405521784,0.000793336019395685,37.735,37.739,37.746,37.754,37.76,37.6587499999999,37.6600833333333,37.66125,37.6625833333333,37.664,58.546285340456,65.5395296508914,68.7601824998301,74.56985577265,81.0356581987179,0.0200000000000031,0.0200000000000031,0.00999999999999801,0.0399999999999991,0.0500000000000043,29,6,16,18,34,0,1,1,notrend,notrend,0.00126063637435436,notrend,0.223420843482018,notrend,0.139900550246239,range,range,0.999224543571472,range,0.765934765338898,range,0.929024577140808
16,22,15,11,41,0,0.000503397946698847,0.000503144664702582,-0.00025154068803257,-0.000503271273833317,39.7310000000001,39.7290000000001,39.7300000000001,39.7330000000001,39.7360000000001,39.7080833333334,39.7091666666667,39.7105833333334,39.7110833333334,39.7116666666667,39.5680726486583,51.6631665703179,61.1633982606639,54.604854305621,43.2644779960367,0,0.0200000000000031,0.019999999999996,0.0200000000000031,0.0399999999999991,10,15,8,8,22,1,1,1,notrend,notrend,0.00696142949163914,notrend,0.206341043114662,notrend,0.0573673360049725,range,range,0.995281457901001,range,0.824369609355927,range,0.848808884620667
5,3,9,0,101,0,0.000250093786473116,0,0,0.000999750145755485,39.9640000000002,39.9670000000002,39.9710000000002,39.9750000000002,39.9830000000002,39.8726666666667,39.8746666666667,39.8766666666667,39.8785833333334,39.8805833333334,84.253974942304,89.2487047672573,89.2487047672572,89.2487047672572,96.7583410494163,0,0.0100000000000051,0.00999999999999801,0.00999999999999801,0.0499999999999972,5,1,6,0,31,0,1,0,notrend,notrend,0.000112882458779495,notrend,0.153168305754662,notrend,0.00333411828614771,range,range,0.999939322471619,range,0.811687052249908,range,0.998826622962952
167,58,131,61,110,-0.000896995126670852,0.000896995126670852,0.00149320619054105,0.000596658728917898,0.00149009117125765,33.4839999999999,33.4769999999999,33.4729999999999,33.4759999999999,33.4859999999999,34.0921666666667,34.0833333333334,34.0744166666667,34.0655833333334,34.05725,23.9505386029003,41.4502893121151,60.1361727942977,65.5165182311027,75.5852313313676,0.0799999999999983,0.0499999999999972,0.0899999999999963,0.0399999999999991,0.0700000000000003,88,36,59,34,68,0,0,1,notrend,trend,0.548705518245697,notrend,0.283197462558746,trend,0.713564455509186,range,norange,0.477289110422134,range,0.753769993782043,range,0.590814352035522
102,116,72,104,52,-0.00126406286582537,-0.00126566274331319,0,0,0.000759589858018384,39.5160000000001,39.5200000000001,39.5160000000001,39.5140000000002,39.5180000000002,39.7235,39.7193333333333,39.71525,39.7109166666666,39.7069166666666,54.5460099906974,44.1243905411016,44.1243905411016,44.1243905411016,53.7951681186722,0.0599999999999952,0.0900000000000034,0.0600000000000023,0.0700000000000003,0.0700000000000003,65,68,48,72,34,0,1,1,notrend,notrend,0.0610094331204891,notrend,0.246768712997437,notrend,0.369583576917648,range,range,0.952625632286072,range,0.633513629436493,range,0.578915655612946
64,25,69,160,19,0.00125140799712398,-0.000250156349021591,-0.000750844735562861,0.000250344224614452,0,40.0130000000001,40.0000000000001,39.9900000000001,39.9800000000001,39.9730000000001,39.8515833333334,39.8551666666667,39.85825,39.8613333333334,39.8645,37.3345567275805,34.7917081707311,27.8392490595799,33.2717677859387,33.2717677859387,0.0499999999999972,0.019999999999996,0.0399999999999991,0.0399999999999991,0.0399999999999991,29,12,26,81,16,0,1,0,trend,notrend,0.107751406729221,notrend,0.267078578472137,notrend,0.359572738409042,norange,range,0.912681579589844,range,0.741143226623535,range,0.745632767677307
67,81,94,87,130,0.00078688528650428,0.000786266584865469,0.0013090720549882,0.000261608896194421,0.00130701887643214,38.1500000000001,38.1510000000001,38.1570000000001,38.1690000000001,38.1820000000001,38.2736666666666,38.271,38.2689166666666,38.26725,38.2659166666666,49.7326999845018,58.7453359354053,69.7818713506141,71.6366713008825,79.3736586991816,0.0900000000000034,0.100000000000001,0.0900000000000034,0.0399999999999991,0.0700000000000003,40,47,62,54,62,1,1,0,notrend,trend,0.769641697406769,trend,0.655838191509247,trend,0.663005352020264,range,norange,0.239041090011597,norange,0.393074184656143,norange,0.179273396730423
