,price,size,ask_price,ask_size,bid_price,bid_size
2016-04-06 17:25:47.688910,,,38.1,,,
2016-04-06 17:25:47.688961,,,,20.0,,
2016-04-06 17:25:47.689210,,,,20.0,,
2016-04-06 17:25:47.689438,38.11,,,,,
2016-04-06 17:25:47.689463,,31.0,,,,
2016-04-06 17:25:47.689629,,31.0,,,,
2016-04-06 17:25:49.495482,,,,,38.09,
2016-04-06 17:25:49.495592,,,,,,2.0
2016-04-06 17:25:49.495746,,,,,,2.0
2016-04-06 17:25:49.497017,,,38.06,,,
2016-04-06 17:25:49.497077,,,,19.0,,
2016-04-06 17:25:49.497320,38.08,,,,,
2016-04-06 17:25:49.497382,,50.0,,,,
2016-04-06 17:25:49.497596,,,,19.0,,
2016-04-06 17:25:49.497759,,50.0,,,,
2016-04-06 17:25:49.497961,38.07,,,,,
2016-04-06 17:25:49.498017,,29.0,,,,
2016-04-06 17:25:49.498227,,,,1.0,,
2016-04-06 17:25:49.498384,,29.0,,,,
2016-04-06 17:25:49.498535,,,,4.0,,
2016-04-06 17:25:49.498754,,25.0,,,,
2016-04-06 17:25:50.192634,,33.0,,,,
2016-04-06 17:25:51.194385,,,,5.0,,
2016-04-06 17:25:51.194829,,35.0,,,,
2016-04-06 17:25:52.196569,,40.0,,,,
2016-04-06 17:25:53.198135,,,,2.0,,
2016-04-06 17:25:53.198490,,43.0,,,,
2016-04-06 17:25:54.200296,,,,4.0,,
2016-04-06 17:25:54.200588,,41.0,,,,
2016-04-06 17:25:54.922248,,,38.05,,,
2016-04-06 17:25:54.922442,,,,46.0,,
2016-04-06 17:25:54.922813,,,,46.0,,
2016-04-06 17:25:54.923174,,43.0,,,,
2016-04-06 17:25:55.142500,,,,43.0,,
2016-04-06 17:25:55.142850,,57.0,,,,
2016-04-06 17:25:55.143529,,,,,38.06,
2016-04-06 17:25:55.143631,,,,,,1.0
2016-04-06 17:25:55.143930,,,,,,1.0
2016-04-06 17:25:55.144652,,,38.06,,,
2016-04-06 17:25:55.144761,,,,1.0,,
2016-04-06 17:25:55.145047,,,,1.0,,
2016-04-06 17:25:55.363353,,,38.05,,,
2016-04-06 17:25:55.363537,,,,5.0,,
2016-04-06 17:25:55.364076,38.06,,,,,
2016-04-06 17:25:55.364314,,16.0,,,,
2016-04-06 17:25:55.364894,,,,5.0,,
2016-04-06 17:25:55.365278,,16.0,,,,
2016-04-06 17:25:56.204205,,,,4.0,,
2016-04-06 17:25:56.204575,,26.0,,,,
2016-04-06 17:25:57.205607,,,,2.0,,
2016-04-06 17:25:57.206086,,37.0,,,,
2016-04-06 17:25:58.207667,,40.0,,,,
2016-04-06 17:25:59.209819,,,,5.0,,
2016-04-06 17:25:59.210293,,36.0,,,,
2016-04-06 17:26:00.213245,38.07,,,,,
2016-04-06 17:26:00.213412,,48.0,,,,
2016-04-06 17:26:00.213907,,,,13.0,,
2016-04-06 17:26:00.214237,,48.0,,,,
2016-04-06 17:26:00.432758,38.06,,,,,
2016-04-06 17:26:00.432980,,4.0,,,,
2016-04-06 17:26:00.433372,,,,7.0,,
2016-04-06 17:26:00.433827,,4.0,,,,
2016-04-06 17:26:00.434248,,,,6.0,,
2016-04-06 17:26:00.434547,,1.0,,,,
2016-04-06 17:26:00.813460,38.07,,,,,
2016-04-06 17:26:00.813660,,52.0,,,,
2016-04-06 17:26:00.814071,,,,11.0,,
2016-04-06 17:26:00.814415,,52.0,,,,
2016-04-06 17:35:33.043891,,,38.05,,,
2016-04-06 17:35:33.043935,,,,20.0,,
2016-04-06 17:35:33.044130,38.07,,,,,
2016-04-06 17:35:33.044154,,58.0,,,,
2016-04-06 17:35:33.265783,,,,,38.07,
2016-04-06 17:35:33.265848,,,,,,2.0
2016-04-06 17:35:33.266071,,,,,,2.0
2016-04-06 17:35:33.267510,,,38.06,,,
2016-04-06 17:35:33.267539,,,,14.0,,
2016-04-06 17:35:33.267789,38.08,,,,,
2016-04-06 17:35:33.267834,,36.0,,,,
2016-04-06 17:35:33.268236,,,,14.0,,
2016-04-06 17:35:33.268406,,36.0,,,,
2016-04-06 17:35:33.544548,,,,15.0,,
2016-04-06 17:35:34.045555,38.07,,,,,
2016-04-06 17:35:34.045605,,1.0,,,,
2016-04-06 17:35:34.045771,,,,10.0,,
2016-04-06 17:35:34.046010,,1.0,,,,
2016-04-06 17:35:34.266164,,,,2.0,,
2016-04-06 17:35:34.266354,,20.0,,,,
2016-04-06 17:35:34.266507,,,,6.0,,
2016-04-06 17:35:34.266656,,2.0,,,,
2016-04-06 17:35:36.000031,,,,4.0,,
2016-04-06 17:35:36.000329,,15.0,,,,
2016-04-06 17:35:36.000551,38.08,,,,,
2016-04-06 17:35:36.000651,,38.0,,,,
2016-04-06 17:35:36.000861,,,,12.0,,
2016-04-06 17:35:36.001038,,38.0,,,,
2016-04-06 17:35:36.150077,,,,18.0,,
2016-04-06 17:35:36.150518,,40.0,,,,
2016-04-06 17:35:36.952047,,,38.07,,,
2016-04-06 17:35:36.952479,,,,1.0,,
2016-04-06 17:35:36.953000,,,,1.0,,
2016-04-06 17:35:40.358734,,,38.06,,,
2016-04-06 17:35:40.358925,,,,18.0,,
2016-04-06 17:35:40.359352,,,,18.0,,
2016-04-06 17:35:41.360525,,,,17.0,,
2016-04-06 17:35:41.360985,,42.0,,,,
2016-04-06 17:35:42.363136,38.07,,,,,
2016-04-06 17:35:42.363330,,10.0,,,,
2016-04-06 17:35:42.363727,,,,7.0,,
2016-04-06 17:35:42.364348,,10.0,,,,
2016-04-06 17:35:42.583373,,,,4.0,,
2016-04-06 17:35:42.583739,,16.0,,,,
2016-04-06 17:35:42.803703,,,,1.0,,
2016-04-06 17:35:42.804040,,27.0,,,,
2016-04-06 17:35:44.668371,,,,2.0,,
2016-04-06 17:35:44.668801,,25.0,,,,
2016-04-06 17:35:45.670220,,,,4.0,,
2016-04-06 17:35:45.670430,,20.0,,,,
2016-04-06 17:35:46.672407,,21.0,,,,
2016-04-06 17:35:47.674023,,,,2.0,,
2016-04-06 17:35:47.674378,,23.0,,,,
2016-04-06 17:35:50.481109,,,,,38.06,
2016-04-06 17:35:50.481301,,,,,,2.0
2016-04-06 17:35:50.482297,,,38.05,,,
2016-04-06 17:35:50.482410,,,,7.0,,
2016-04-06 17:35:50.482815,38.06,,,,,
2016-04-06 17:35:50.482938,,7.0,,,,
2016-04-06 17:35:50.483245,,,,7.0,,
2016-04-06 17:35:50.483532,,7.0,,,,
2016-04-06 17:35:50.701338,,,38.06,,,
2016-04-06 17:35:50.701524,,,,1.0,,
2016-04-06 17:35:50.702017,38.07,,,,,
2016-04-06 17:35:50.702157,,37.0,,,,
2016-04-06 17:35:50.702561,,,,1.0,,
2016-04-06 17:35:50.702967,,37.0,,,,
2016-04-06 17:35:51.582759,,35.0,,,,
2016-04-06 17:35:53.286275,,36.0,,,,
2016-04-06 17:35:54.088199,,,,,,1.0
2016-04-06 17:35:54.088794,,,38.05,,,
2016-04-06 17:35:54.088861,,,,6.0,,
2016-04-06 17:35:54.089132,38.06,,,,,
2016-04-06 17:35:54.089191,,6.0,,,,
2016-04-06 17:35:54.089399,,,,6.0,,
2016-04-06 17:35:54.089557,,6.0,,,,
2016-04-06 17:35:55.010431,,13.0,,,,
2016-04-06 17:35:55.791688,,,,4.0,,
