,open,high,low,close,volume,count,returns,sma,lma,rsi,atr,monday,roll,busy
2016-04-13 06:00:00+08:00,42.97,43.05,42.95,43.03,37.0,18.0,,,,,,0,0,0
2016-04-13 06:01:00+08:00,43.03,43.03,43.03,43.03,0.0,0.0,,,,,,0,0,0
2016-04-13 06:02:00+08:00,43.03,43.03,43.03,43.03,0.0,0.0,,,,,,0,0,0
2016-04-13 06:03:00+08:00,43.05,43.08,43.05,43.08,5.0,3.0,,,,,,0,0,0
2016-04-13 06:04:00+08:00,43.06,43.09,43.06,43.09,2.0,2.0,,,,,,0,0,0
2016-04-13 06:05:00+08:00,43.09,43.09,43.09,43.09,0.0,0.0,,,,,,0,0,0
2016-04-13 06:06:00+08:00,43.08,43.08,43.08,43.08,2.0,1.0,,,,,,0,0,0
2016-04-13 06:07:00+08:00,43.08,43.08,43.02,43.02,8.0,5.0,,,,,,0,0,0
2016-04-13 06:08:00+08:00,43.0,43.0,42.96,42.96,26.0,21.0,,,,,,0,0,0
2016-04-13 06:09:00+08:00,42.98,42.99,42.94,42.94,11.0,8.0,,43.035,,,,0,0,0
2016-04-13 06:10:00+08:00,42.98,42.98,42.98,42.98,1.0,1.0,-0.116198001394,43.03,,,0.03,0,0,0
2016-04-13 06:11:00+08:00,42.97,42.97,42.94,42.95,3.0,3.0,-0.185916802231,43.022,,,0.031,0,0,0
2016-04-13 06:12:00+08:00,42.96,42.98,42.96,42.97,6.0,5.0,-0.139437601673,43.016,,,0.0309,0,0,0
2016-04-13 06:13:00+08:00,42.97,42.97,42.95,42.95,6.0,3.0,-0.301764159703,43.003,,,0.02981,0,0,0
2016-04-13 06:14:00+08:00,42.95,42.95,42.95,42.95,1.0,1.0,-0.324901369227,42.989,,37.5,0.026829,0,0,0
2016-04-13 06:15:00+08:00,42.94,42.94,42.94,42.94,3.0,2.0,-0.348108609886,42.974,,36.2790697674,0.0251461,0,0,0
2016-04-13 06:16:00+08:00,42.93,42.94,42.92,42.94,10.0,7.0,-0.324976787372,42.96,,36.2790697674,0.02463149,0,0,0
2016-04-13 06:17:00+08:00,42.94,42.94,42.94,42.94,18.0,8.0,-0.185960018596,42.952,,36.2790697674,0.022168341,0,0,0
2016-04-13 06:18:00+08:00,42.94,42.95,42.94,42.95,33.0,18.0,-0.0232774674115,42.951,,38.7689879019,0.0209515069,0,0,0
2016-04-13 06:19:00+08:00,42.97,42.97,42.96,42.96,5.0,3.0,0.0465766185375,42.953,,41.2416088284,0.02085635621,0,0,0
2016-04-13 06:20:00+08:00,42.96,42.96,42.96,42.96,1.0,1.0,-0.046533271289,42.951,,41.2416088284,0.018770720589,0,0,0
2016-04-13 06:21:00+08:00,42.95,42.97,42.95,42.97,2.0,2.0,0.046565774156,42.953,,43.8703498625,0.0188936485301,0,0,0
2016-04-13 06:22:00+08:00,42.96,42.96,42.95,42.95,5.0,3.0,-0.0465441005353,42.951,,40.0145820593,0.0190042836771,0,0,0
2016-04-13 06:23:00+08:00,42.95,42.95,42.95,42.95,1.0,1.0,0.0,42.951,,40.0145820593,0.0171038553094,0,0,0
2016-04-13 06:24:00+08:00,42.95,42.95,42.95,42.95,3.0,1.0,0.0,42.951,,40.0145820593,0.0153934697784,0,0,0
2016-04-13 06:25:00+08:00,42.95,42.95,42.95,42.95,1.0,1.0,0.0232883092688,42.952,,40.0145820593,0.0138541228006,0,0,0
2016-04-13 06:26:00+08:00,42.94,42.95,42.94,42.95,5.0,4.0,0.0232883092688,42.953,,40.0145820593,0.0134687105205,0,0,0
2016-04-13 06:27:00+08:00,42.95,42.95,42.95,42.95,0.0,0.0,0.0232883092688,42.954,,40.0145820593,0.0121218394685,0,0,0
2016-04-13 06:28:00+08:00,42.95,42.96,42.95,42.96,3.0,3.0,0.023282887078,42.955,,43.8628743538,0.0119096555216,0,0,0
2016-04-13 06:29:00+08:00,42.95,42.98,42.95,42.97,9.0,4.0,0.0232774674115,42.956,,47.4906755246,0.0137186899695,0,0,0
2016-04-13 06:30:00+08:00,42.97,42.97,42.96,42.96,3.0,2.0,0.0,42.956,,44.4006150818,0.0133468209725,0,0,0
2016-04-13 06:31:00+08:00,42.96,43.02,42.96,43.02,13.0,10.0,0.116360251338,42.961,,60.8573796625,0.0180121388753,0,0,0
2016-04-13 06:32:00+08:00,43.02,43.02,43.01,43.02,10.0,5.0,0.162980209546,42.968,,60.8573796625,0.0172109249877,0,0,0
2016-04-13 06:33:00+08:00,43.01,43.01,43.0,43.01,7.0,4.0,0.139697322468,42.974,,57.5639874408,0.017489832489,0,0,0
2016-04-13 06:34:00+08:00,43.01,43.01,43.0,43.01,15.0,4.0,0.139697322468,42.98,,57.5639874408,0.0167408492401,0,0,0
2016-04-13 06:35:00+08:00,43.01,43.02,43.01,43.02,9.0,3.0,0.162980209546,42.987,,60.0700849206,0.0160667643161,0,0,0
2016-04-13 06:36:00+08:00,43.03,43.03,43.01,43.01,10.0,10.0,0.139697322468,42.993,,56.4781494016,0.0164600878845,0,0,0
2016-04-13 06:37:00+08:00,43.01,43.03,43.01,43.03,2.0,2.0,0.186263096624,43.001,,61.4438307078,0.016814079096,0,0,0
2016-04-13 06:38:00+08:00,43.03,43.03,43.03,43.03,0.0,0.0,0.162942271881,43.008,,61.4438307078,0.0151326711864,0,0,0
2016-04-13 06:39:00+08:00,43.02,43.02,43.02,43.02,2.0,1.0,0.116360251338,43.013,,57.6308394771,0.0146194040678,0,0,0
2016-04-13 06:40:00+08:00,43.02,43.02,43.01,43.01,2.0,2.0,0.116387337058,43.018,,54.0206342956,0.014157463661,0,0,0
2016-04-13 06:41:00+08:00,43.03,43.03,43.03,43.03,2.0,1.0,0.0232450023245,43.019,,59.4868595919,0.0147417172949,0,0,0
2016-04-13 06:42:00+08:00,43.05,43.06,43.05,43.06,10.0,5.0,0.092980009298,43.023,,66.0137174904,0.0162675455654,0,0,0
2016-04-13 06:43:00+08:00,43.07,43.08,43.07,43.08,4.0,2.0,0.162752848175,43.03,,69.5371954312,0.0166407910089,0,0,0
2016-04-13 06:44:00+08:00,43.05,43.05,43.04,43.04,4.0,2.0,0.0697512206464,43.033,,56.84408991,0.018976711908,0,0,0
2016-04-13 06:45:00+08:00,43.06,43.06,43.06,43.06,3.0,2.0,0.092980009298,43.037,,60.7062387725,0.0190790407172,0,0,0
2016-04-13 06:46:00+08:00,43.06,43.06,43.06,43.06,1.0,1.0,0.116252034411,43.042,,60.7062387725,0.0171711366455,0,0,0
2016-04-13 06:47:00+08:00,43.05,43.06,43.05,43.06,5.0,2.0,0.0697188008366,43.045,,60.7062387725,0.0164540229809,0,0,0
2016-04-13 06:48:00+08:00,43.06,43.06,43.06,43.06,0.0,0.0,0.0697188008366,43.048,,60.7062387725,0.0148086206828,0,0,0
2016-04-13 06:49:00+08:00,43.03,43.03,43.03,43.03,3.0,1.0,0.0232450023245,43.049,,51.4216127475,0.0163277586145,0,0,0
2016-04-13 06:50:00+08:00,43.02,43.07,43.02,43.07,13.0,9.0,0.139502441293,43.055,,60.1689565044,0.0196949827531,0,0,0
2016-04-13 06:51:00+08:00,43.06,43.06,43.06,43.06,2.0,2.0,0.0697188008366,43.058,,57.3868718213,0.0187254844778,0,0,0
2016-04-13 06:52:00+08:00,43.06,43.06,43.06,43.06,1.0,1.0,0.0,43.058,,57.3868718213,0.01685293603,0,0,0
2016-04-13 06:53:00+08:00,43.07,43.07,43.07,43.07,2.0,2.0,-0.0232126276694,43.057,,59.555697195,0.016167642427,0,0,0
2016-04-13 06:54:00+08:00,43.07,43.07,43.07,43.07,9.0,3.0,0.0697026022305,43.06,,59.555697195,0.0145508781843,0,0,0
2016-04-13 06:55:00+08:00,43.08,43.08,43.08,43.08,12.0,7.0,0.0464468183929,43.062,,61.8099409038,0.0140957903659,0,0,0
2016-04-13 06:56:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,0.0464468183929,43.064,,61.8099409038,0.0126862113293,0,0,0
2016-04-13 06:57:00+08:00,43.08,43.08,43.06,43.06,6.0,4.0,0.0,43.064,,54.7337710842,0.0134175901964,0,0,0
2016-04-13 06:58:00+08:00,43.06,43.06,43.06,43.06,0.0,0.0,0.0,43.064,,54.7337710842,0.0120758311767,0,0,0
2016-04-13 06:59:00+08:00,43.08,43.08,43.06,43.06,2.0,2.0,0.0697188008366,43.067,,54.7337710842,0.012868248059,0,0,0
2016-04-13 07:00:00+08:00,43.07,43.07,43.06,43.06,7.0,5.0,-0.0232180171813,43.066,,54.7337710842,0.0125814232531,0,0,0
2016-04-13 07:01:00+08:00,43.05,43.05,43.03,43.03,3.0,2.0,-0.0696702275894,43.063,,44.463660412,0.0143232809278,0,0,0
2016-04-13 07:02:00+08:00,43.03,43.03,43.03,43.03,2.0,2.0,-0.0696702275894,43.06,,44.463660412,0.012890952835,0,0,0
2016-04-13 07:03:00+08:00,43.02,43.02,43.01,43.01,2.0,2.0,-0.139308103088,43.054,,38.8302878991,0.0136018575515,0,0,0
2016-04-13 07:04:00+08:00,43.01,43.01,43.0,43.0,6.0,3.0,-0.162526120269,43.047,,36.3504262444,0.0132416717964,0,0,0
2016-04-13 07:05:00+08:00,43.0,43.01,42.99,42.99,17.0,12.0,-0.208913649025,43.038,,34.0112440787,0.0139175046167,0,0,0
2016-04-13 07:06:00+08:00,42.98,42.98,42.98,42.98,4.0,3.0,-0.232126276695,43.028,,31.80698934,0.0135257541551,0,0,0
2016-04-13 07:07:00+08:00,43.0,43.01,43.0,43.01,2.0,2.0,-0.116117045982,43.023,,43.6134725232,0.0151731787396,0,0,0
2016-04-13 07:08:00+08:00,43.01,43.05,43.01,43.05,9.0,7.0,-0.0232234091965,43.022,,54.8402608201,0.0176558608656,0,0,0
2016-04-13 07:09:00+08:00,43.05,43.05,43.03,43.04,12.0,6.0,-0.0464468183929,43.02,,52.0501170259,0.017890274779,0,0,0
2016-04-13 07:10:00+08:00,43.04,43.05,43.04,43.05,5.0,5.0,-0.0232234091965,43.019,,54.5408820705,0.0171012473011,0,0,0
2016-04-13 07:11:00+08:00,43.05,43.05,43.05,43.05,0.0,0.0,0.0464792005577,43.021,,54.5408820705,0.015391122571,0,0,0
2016-04-13 07:12:00+08:00,43.03,43.03,43.03,43.03,6.0,3.0,0.0,43.021,,48.6759979316,0.0158520103139,0,0,0
2016-04-13 07:13:00+08:00,43.03,43.03,43.02,43.02,3.0,2.0,0.0232504068821,43.022,,46.0118307104,0.0152668092825,0,0,0
2016-04-13 07:14:00+08:00,43.02,43.04,43.02,43.04,11.0,9.0,0.093023255814,43.026,,51.7051098571,0.0157401283543,0,0,0
2016-04-13 07:15:00+08:00,43.04,43.08,43.04,43.08,49.0,20.0,0.209351011863,43.035,,60.6440990978,0.0181661155189,0,0,0
2016-04-13 07:16:00+08:00,43.08,43.08,43.08,43.08,1.0,1.0,0.232666356445,43.045,,60.6440990978,0.016349503967,0,0,0
2016-04-13 07:17:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,0.162752848175,43.052,,60.6440990978,0.0147145535703,0,0,0
2016-04-13 07:18:00+08:00,43.07,43.11,43.07,43.1,49.0,22.0,0.116144018583,43.057,,64.7218196711,0.0172430982132,0,0,0
2016-04-13 07:19:00+08:00,43.11,43.11,43.1,43.1,2.0,2.0,0.139405204461,43.063,,64.7218196711,0.0165187883919,0,0,0
2016-04-13 07:20:00+08:00,43.09,43.1,43.09,43.1,6.0,5.0,0.116144018583,43.068,,64.7218196711,0.0158669095527,0,0,0
2016-04-13 07:21:00+08:00,43.1,43.1,43.1,43.1,2.0,2.0,0.116144018583,43.073,,64.7218196711,0.0142802185975,0,0,0
2016-04-13 07:22:00+08:00,43.09,43.09,43.09,43.09,6.0,6.0,0.139437601673,43.079,,60.505702704,0.0138521967377,0,0,0
2016-04-13 07:23:00+08:00,43.09,43.09,43.09,43.09,0.0,0.0,0.162715016271,43.086,,60.505702704,0.0124669770639,0,0,0
2016-04-13 07:24:00+08:00,43.09,43.09,43.09,43.09,2.0,2.0,0.116171003717,43.091,,60.505702704,0.0112202793575,0,0,0
2016-04-13 07:25:00+08:00,43.08,43.08,43.08,43.08,2.0,1.0,0.0,43.091,,55.953290164,0.0110982514218,0,0,0
2016-04-13 07:26:00+08:00,43.09,43.09,43.09,43.09,1.0,1.0,0.0232126276695,43.092,,59.2547567074,0.0109884262796,0,0,0
2016-04-13 07:27:00+08:00,43.09,43.09,43.09,43.09,0.0,0.0,0.0232126276695,43.093,,59.2547567074,0.00988958365165,0,0,0
2016-04-13 07:28:00+08:00,43.09,43.09,43.09,43.09,1.0,1.0,-0.0232018561485,43.092,,59.2547567074,0.00890062528648,0,0,0
2016-04-13 07:29:00+08:00,43.11,43.11,43.11,43.11,2.0,2.0,0.0232018561485,43.093,,65.6804383531,0.0100105627578,0,0,0
2016-04-13 07:30:00+08:00,43.11,43.11,43.1,43.1,2.0,2.0,0.0,43.093,,60.5395718909,0.0100095064821,0,0,0
2016-04-13 07:31:00+08:00,43.1,43.1,43.1,43.1,0.0,0.0,0.0,43.093,,60.5395718909,0.00900855583385,0,0,0
2016-04-13 07:32:00+08:00,43.1,43.1,43.09,43.09,3.0,2.0,0.0,43.093,,55.5013935696,0.00910770025046,0,0,0
2016-04-13 07:33:00+08:00,43.08,43.09,43.08,43.09,2.0,2.0,0.0,43.093,,55.5013935696,0.00919693022542,0,0,0
2016-04-13 07:34:00+08:00,43.09,43.09,43.08,43.08,3.0,2.0,-0.0232072406591,43.092,,50.6160839052,0.00927723720288,0,0,0
2016-04-13 07:35:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,0.0,43.092,,50.6160839052,0.00834951348259,0,0,0
2016-04-13 07:36:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,-0.0232072406591,43.091,,50.6160839052,0.00751456213433,0,0,0
2016-04-13 07:37:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,-0.0232072406591,43.09,,50.6160839052,0.0067631059209,0,0,0
2016-04-13 07:38:00+08:00,43.1,43.1,43.1,43.1,1.0,1.0,0.0232072406591,43.091,,60.070783372,0.00808679532881,0,0,0
2016-04-13 07:39:00+08:00,43.09,43.09,43.09,43.09,2.0,2.0,-0.0463929482719,43.089,,54.4568247735,0.00827811579593,0,0,0
2016-04-13 07:40:00+08:00,43.1,43.1,43.1,43.1,1.0,1.0,0.0,43.089,,58.6213623163,0.00845030421633,0,0,0
2016-04-13 07:41:00+08:00,43.09,43.09,43.09,43.09,4.0,2.0,-0.0232018561485,43.088,,53.3661085267,0.0086052737947,0,0,0
2016-04-13 07:42:00+08:00,43.1,43.1,43.1,43.1,1.0,1.0,0.0232072406591,43.089,,57.4719134715,0.00874474641523,0,0,0
2016-04-13 07:43:00+08:00,43.1,43.1,43.1,43.1,0.0,0.0,0.0232072406591,43.09,,57.4719134715,0.00787027177371,0,0,0
2016-04-13 07:44:00+08:00,43.08,43.09,43.08,43.09,3.0,3.0,0.0232126276695,43.091,,52.1471913905,0.00908324459634,0,0,0
2016-04-13 07:45:00+08:00,43.09,43.09,43.08,43.08,10.0,5.0,0.0,43.091,,47.4161944527,0.0091749201367,0,0,0
2016-04-13 07:46:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,0.0,43.091,,47.4161944527,0.00825742812303,0,0,0
2016-04-13 07:47:00+08:00,43.08,43.08,43.08,43.08,3.0,2.0,0.0,43.091,,47.4161944527,0.00743168531073,0,0,0
2016-04-13 07:48:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,-0.046403712297,43.089,,47.4161944527,0.00668851677966,0,0,0
2016-04-13 07:49:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,-0.0232072406591,43.088,,47.4161944527,0.00601966510169,0,0,0
2016-04-13 07:50:00+08:00,43.08,43.08,43.07,43.07,2.0,2.0,-0.0696055684455,43.085,,41.9087528802,0.00641769859152,0,0,0
2016-04-13 07:51:00+08:00,43.07,43.07,43.07,43.07,0.0,0.0,-0.0464144813182,43.083,,41.9087528802,0.00577592873237,0,0,0
2016-04-13 07:52:00+08:00,43.07,43.07,43.07,43.07,1.0,1.0,-0.0696055684455,43.08,,41.9087528802,0.00519833585913,0,0,0
2016-04-13 07:53:00+08:00,43.08,43.08,43.08,43.08,5.0,2.0,-0.046403712297,43.078,,49.2683825604,0.00567850227322,0,0,0
2016-04-13 07:54:00+08:00,43.08,43.08,43.08,43.08,4.0,2.0,-0.0232072406591,43.077,,49.2683825604,0.0051106520459,0,0,0
2016-04-13 07:55:00+08:00,43.08,43.08,43.08,43.08,14.0,5.0,0.0,43.077,,49.2683825604,0.00459958684131,0,0,0
2016-04-13 07:56:00+08:00,43.08,43.08,43.08,43.08,0.0,0.0,0.0,43.077,,49.2683825604,0.00413962815718,0,0,0
